Sales Person,Industry,Q1 Quota Split,Q2 Quota Split,Q3 Quota Split,Q4 Quota Split,REVENUE SIZE,COMMISSION SPLIT (TCV),COMMISSION SPLIT(ACV)
Friedrich Brown,Education,30%,25%,15%,30%,"500,000",0%,95%
Lainey Achterberg,Technology Hardware,20%,25%,30%,25%,"10,000,000,000",0%,94%
Connor Brown,Mining,24%,26%,25%,25%,"50,000,000",0%,96%
Lainey Brown,Financial Services,20%,28%,25%,25%,"100,000,000",0%,89%
Luna Achterberg,Technology Hardware,20%,25%,30%,25%,"10,000,000",0%,90%
Valentin Fàn,Security Hardware,20%,25%,30%,25%,"100,000,000",0%,95%
Tommaso Lennox,Other,25%,25%,25%,25%,"100,000,000",0%,96%
Gulnaz Stewart,Fishing,30%,30%,20%,20%,"50,000,000",0%,96%
Aroos  Reason,Software,23%,27%,25%,25%,"10,000,000",0%,98%
Ruairi Poirier,Biotechnology,24%,26%,25%,25%,"50,000,000",0%,88%
Evelyn Reason,Healthcare,24%,26%,25%,25%,0,0%,89%
Aroos  Poirier,Technology Services,22%,28%,25%,25%,"100,000,000,000",0%,94%
Seamus Levitsky,Education,30%,25%,15%,30%,"500,000",0%,96%
Niall Carbonneau,Insurance,25%,30%,20%,25%,"50,000,000",0%,96%
Van Aldershof,Security Software,22%,28%,25%,25%,0,0%,93%
Seo-joon Huppe,Education,30%,25%,15%,30%,"2,000,000",0%,96%
Artem Jafri,Insurance,25%,30%,20%,25%,"1,000,000",0%,97%
Aldert Turgenev,Insurance,25%,30%,20%,25%,"100,000,000",0%,93%
Sile Floris,Software,23%,27%,25%,25%,0,94%,0%
Noemi MacAlpine,Travel,20%,30%,30%,20%,"1,000,000,000",0%,88%
Artem Kahananui,Security Hardware,20%,25%,30%,25%,"100,000,000",0%,97%
Bernard Turgenev,Financial Services,20%,28%,25%,25%,"500,000",0%,99%
Jozefa Johnson,Insurance,25%,30%,20%,25%,"10,000,000,000",0%,98%
Claire Wagner,Biomedical,25%,25%,25%,25%,"1,000,000",0%,92%
Thomas Admiraal,Agriculture,15%,20%,35%,30%,"100,000,000,000",0%,90%
Fionn Ryan,Travel,20%,30%,30%,20%,"1,000,000,000",0%,99%
Jozefa Semenov,Automotive,20%,25%,30%,25%,0,0%,99%
Chung-ha Dam,Technology Hardware,20%,25%,30%,25%,0,95%,0%
Chanel Dam,Other,25%,25%,25%,25%,"100,000,000,000",0%,91%
Roisin Leroy,Mining,24%,26%,25%,25%,"10,000,000",0%,93%
Sophie Ainsley,Technology Services,22%,28%,25%,25%,"5,000,000",0%,97%
Oliver Dam,Technology Services,22%,28%,25%,25%,"2,000,000",0%,99%
Awj Kapule,Mining,24%,26%,25%,25%,"1,000,000",0%,96%
Roisin Leroy,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,95%
Triantafylos Ryan,Oil and Gas,25%,25%,25%,25%,"5,000,000",0%,91%
Kenneth Pavlov,Other,25%,25%,25%,25%,0,0%,98%
Isaak Wallace,Medical Equipment,25%,25%,25%,25%,0,0%,89%
Kenneth Danielopoulos,Education,30%,25%,15%,30%,"10,000,000,000",0%,98%
Aimée Peters,Technology Services,22%,28%,25%,25%,"500,000",0%,95%
Ae-cha Rayne,Biotechnology,24%,26%,25%,25%,"1,000,000,000",0%,88%
Isla Kekoa,Agriculture,15%,20%,35%,30%,0,0%,88%
Amaira Fisher,Agriculture,15%,20%,35%,30%,"2,000,000",0%,96%
Amaira Nomikos,Security Software,22%,28%,25%,25%,"500,000",0%,94%
Isla Peters,Biomedical,25%,25%,25%,25%,"1,000,000,000",0%,90%
Idir Fungai,Automotive,20%,25%,30%,25%,0,0%,89%
Imani Albaz,Biotechnology,24%,26%,25%,25%,"100,000,000",0%,91%
Idir Kaloki,Banking,23%,27%,25%,25%,"100,000,000",0%,98%
Amari Ganizani,Insurance,25%,30%,20%,25%,"500,000",0%,91%
Zendaya Dalitso,Technology Hardware,20%,25%,30%,25%,"2,000,000",95%,0%
Zaire Chimwemwe,Mining,24%,26%,25%,25%,"1,000,000,000",0%,96%
Kwame Grigahcine,Fishing,30%,30%,20%,20%,"5,000,000",0%,99%
Nnamdi Chrizanne,Technology Services,22%,28%,25%,25%,"10,000,000",0%,89%
Kwame Chikondi,Mining,24%,26%,25%,25%,"10,000,000,000",0%,92%
Ada Elmalik,Security Hardware,20%,25%,30%,25%,"500,000",0%,98%
Omari Fungai,Banking,23%,27%,25%,25%,"2,000,000",0%,98%
Chima Gebreyes,Construction,15%,25%,35%,25%,0,0%,97%
Nala Jomana,Biomedical,25%,25%,25%,25%,"10,000,000,000",0%,92%
Imamu Alioune,Banking,23%,27%,25%,25%,"100,000,000,000",0%,93%
Imamu Bilaal,Travel,20%,30%,30%,20%,"10,000,000",0%,99%
Zuri Bilaal,Alcohol,20%,20%,30%,30%,"50,000,000",0%,92%
Kwame Chisomo,Other,25%,25%,25%,25%,"2,000,000",0%,94%
Imamu Ghirmai,Agriculture,15%,20%,35%,30%,"2,000,000",0%,92%
Chiumbo Ouyahia,Mining,24%,26%,25%,25%,0,0%,91%
Imani Deressa,Technology Hardware,20%,25%,30%,25%,"100,000,000,000",0%,100%
Abidemi Deressa,Security Software,22%,28%,25%,25%,"100,000,000",0%,100%
Ola Popoola,Construction,15%,25%,35%,25%,0,0%,93%
Chidinma Ayanda,Medical Equipment,25%,25%,25%,25%,"1,000,000",0%,91%
Chidinma Afia,Technology Hardware,20%,25%,30%,25%,"500,000",93%,0%
Aberash Jomana,Security Software,22%,28%,25%,25%,"10,000,000,000",0%,98%
Aadan Grigahcine,Travel,20%,30%,30%,20%,"10,000,000",0%,94%
Omari Amani,Alcohol,20%,20%,30%,30%,0,0%,94%
Kwame Afumba,Pharmaceuticals,25%,25%,25%,25%,"50,000,000",0%,99%
Kofi Chisomo,Biomedical,25%,25%,25%,25%,"50,000,000",0%,93%
Imani Dualeh,Oil and Gas,25%,25%,25%,25%,"10,000,000",0%,90%
Makena Elya,Financial Services,20%,28%,25%,25%,"100,000,000,000",0%,90%
Faraji Ech,Alcohol,20%,20%,30%,30%,"500,000",0%,99%
Ike Ganizani,Other,25%,25%,25%,25%,"2,000,000",0%,91%
Ike Hamadache,Automotive,20%,25%,30%,25%,"50,000,000",0%,96%
Nnamdi Acheampong,Travel,20%,30%,30%,20%,"2,000,000",0%,93%
Idir Abiodun,Education,30%,25%,15%,30%,"2,000,000",0%,88%
Idir Ghirmai,Automotive,20%,25%,30%,25%,"100,000,000",0%,90%
Kamari Hlengiwe,Security Hardware,20%,25%,30%,25%,"500,000",0%,98%
Nnamdi Adebisi,Security Software,22%,28%,25%,25%,"2,000,000",0%,93%
Kwame Deressa,Fishing,30%,30%,20%,20%,"1,000,000",0%,94%
Gugulethu Dumisani,Technology Services,22%,28%,25%,25%,0,0%,99%
Chidinma Agu,Technology Services,22%,28%,25%,25%,"100,000,000",0%,98%
Nala Ait,Alcohol,20%,20%,30%,30%,"100,000,000,000",0%,89%
Ike Dogo,Oil and Gas,25%,25%,25%,25%,"500,000",0%,93%
Kamari Umburter,Security Hardware,20%,25%,30%,25%,"100,000,000,000",0%,95%
Nnamdi Negga,Biotechnology,24%,26%,25%,25%,"500,000",0%,92%
Kamari Chipo,Medical Equipment,25%,25%,25%,25%,"1,000,000,000",0%,95%
Osiris Mambwe,Travel,20%,30%,30%,20%,"2,000,000",0%,96%
Nia Popoola,Pharmaceuticals,25%,25%,25%,25%,0,0%,93%
Chiumbo Chimwemwe,Technology Services,22%,28%,25%,25%,"100,000,000,000",0%,99%
Chidinma Axmed,Travel,20%,30%,30%,20%,"2,000,000",0%,95%
Imamu Alinafe,Other,25%,25%,25%,25%,"5,000,000",0%,89%
Nnamdi Ayenew,Agriculture,15%,20%,35%,30%,"10,000,000",0%,98%
Chidinma Agrinya,Appliances,22%,28%,25%,25%,"10,000,000",0%,90%
Nnamdi Negga,Healthcare,24%,26%,25%,25%,"100,000,000",0%,92%
Diallo Abioye,Banking,23%,27%,25%,25%,"1,000,000",0%,89%
Faraji Ghirmai,Technology Services,22%,28%,25%,25%,"10,000,000,000",0%,93%
Zendaya Amani,Agriculture,15%,20%,35%,30%,"100,000,000,000",0%,94%
Abeba Kabelo,Alcohol,20%,20%,30%,30%,"1,000,000,000",0%,94%
Imani Amani,Travel,20%,30%,30%,20%,0,0%,89%
Hibo Dawit,Technology Hardware,20%,25%,30%,25%,"10,000,000,000",0%,100%
Aberash Katlego,Biomedical,25%,25%,25%,25%,"1,000,000",0%,93%
Osiris Mambwe,Appliances,22%,28%,25%,25%,"2,000,000",0%,97%
Abdalla Elmalik,Financial Services,20%,28%,25%,25%,0,0%,92%
Chima Siddig,Insurance,25%,30%,20%,25%,"100,000,000",0%,96%
Yared Alioune,Alcohol,20%,20%,30%,30%,"5,000,000",0%,90%
Abeba Bayu,Technology Services,22%,28%,25%,25%,"500,000",0%,89%
Osiris Ganizani,Healthcare,24%,26%,25%,25%,"100,000,000,000",0%,98%
Makena Chifundo,Biotechnology,24%,26%,25%,25%,"500,000",0%,97%
Masego Katlego,Appliances,22%,28%,25%,25%,"2,000,000",0%,89%
Zuri Jlassi,Oil and Gas,25%,25%,25%,25%,"10,000,000,000",0%,98%
Ike Izem,Software,23%,27%,25%,25%,"1,000,000,000",0%,89%
Nnamdi Keita,Healthcare,24%,26%,25%,25%,"1,000,000,000",0%,90%
Faraji Izem,Medical Equipment,25%,25%,25%,25%,"1,000,000",0%,99%
Faraji Ladipo,Construction,15%,25%,35%,25%,"500,000",0%,99%
Hadiza Agu,Medical Equipment,25%,25%,25%,25%,"1,000,000",0%,99%
Chidinma Deressa,Medical Equipment,25%,25%,25%,25%,"1,000,000,000",0%,94%
Ayaan Abimbola,Construction,15%,25%,35%,25%,"5,000,000",0%,94%
Hadiza Axmed,Oil and Gas,25%,25%,25%,25%,"500,000",0%,93%
Aberash Alioune,Insurance,25%,30%,20%,25%,"50,000,000",0%,92%
Ayaan Haggar,Mining,24%,26%,25%,25%,0,0%,95%
Osiris Nenge,Mining,24%,26%,25%,25%,"50,000,000",0%,92%
Gugulethu Fungai,Technology Hardware,20%,25%,30%,25%,"1,000,000,000",0%,96%
Kwame Deressa,Other,25%,25%,25%,25%,"100,000,000,000",0%,90%
Makena Abebe,Financial Services,20%,28%,25%,25%,"500,000",0%,89%
Kenya Chimwemwe,Agriculture,15%,20%,35%,30%,"100,000,000,000",0%,91%
Zola Benhaim,Biotechnology,24%,26%,25%,25%,"100,000,000",0%,91%
Amara Ghirmai,Security Software,22%,28%,25%,25%,"10,000,000,000",0%,90%
Zola Mensah,Technology Services,22%,28%,25%,25%,"10,000,000,000",0%,89%
Imani Mambwe,Biotechnology,24%,26%,25%,25%,"10,000,000,000",0%,93%
Idir Benhaim,Alcohol,20%,20%,30%,30%,0,0%,90%
Imamu Abebe,Appliances,22%,28%,25%,25%,"2,000,000",0%,93%
Cleopatra Abioye,Other,25%,25%,25%,25%,"100,000,000",0%,100%
Yuusuf Ghirmai,Security Software,22%,28%,25%,25%,"1,000,000",0%,95%
Onika Chikondi,Oil and Gas,25%,25%,25%,25%,"500,000",0%,97%
Chidinma Nenge,Pharmaceuticals,25%,25%,25%,25%,"2,000,000",0%,95%
Sade Fatsani,Security Software,22%,28%,25%,25%,0,0%,96%
Faraji Dualeh,Construction,15%,25%,35%,25%,"50,000,000",0%,96%
Kofi Amel,Appliances,22%,28%,25%,25%,"5,000,000",0%,99%
Aadan Ouyahia,Education,30%,25%,15%,30%,"50,000,000",0%,97%
Emerson Miller,Security Hardware,20%,25%,30%,25%,"100,000,000,000",0%,100%
Cameron Rivera,Appliances,22%,28%,25%,25%,"10,000,000,000",0%,90%
Fisher Sanchez,Oil and Gas,25%,25%,25%,25%,"10,000,000",0%,92%
Clayton Robinson,Biomedical,25%,25%,25%,25%,"2,000,000",0%,88%
Destiny King,Oil and Gas,25%,25%,25%,25%,"5,000,000",0%,89%
Sawyer Miller,Biotechnology,24%,26%,25%,25%,"100,000,000,000",0%,91%
Dallin Anderson,Biomedical,25%,25%,25%,25%,"100,000,000,000",0%,98%
Autumn Carter,Pharmaceuticals,25%,25%,25%,25%,0,0%,98%
Avery Walker,Security Software,22%,28%,25%,25%,"500,000",0%,99%
Kellen Martin,Software,23%,27%,25%,25%,"10,000,000,000",0%,96%
Aria Harris,Mining,24%,26%,25%,25%,"2,000,000",0%,93%
Cortez Wright,Construction,15%,25%,35%,25%,"2,000,000",0%,88%
Madison Adams,Fishing,30%,30%,20%,20%,"500,000",0%,92%
Dakota Walker,Security Hardware,20%,25%,30%,25%,"100,000,000",0%,97%
Blaine Johnson,Healthcare,24%,26%,25%,25%,"10,000,000",0%,97%
Haven Nguyen,Travel,20%,30%,30%,20%,"10,000,000",0%,97%
Keegan Johnson,Security Software,22%,28%,25%,25%,"100,000,000",0%,96%
Jameson Green,Financial Services,20%,28%,25%,25%,"5,000,000",0%,93%
Aubrey Martinez,Appliances,22%,28%,25%,25%,"1,000,000,000",0%,98%
Kenyon Lewis,Other,25%,25%,25%,25%,"2,000,000",0%,97%
Lexi Perez,Agriculture,15%,20%,35%,30%,"500,000",0%,99%
Wyatt Sanchez,Alcohol,20%,20%,30%,30%,"2,000,000",0%,96%
Trinity Williams,Appliances,22%,28%,25%,25%,"2,000,000",0%,96%
Cassidy Williams,Education,30%,25%,15%,30%,"500,000",0%,99%
Dane Walker,Biomedical,25%,25%,25%,25%,"1,000,000,000",0%,95%
Brody Jackson,Automotive,20%,25%,30%,25%,"2,000,000",0%,98%
Jaden Campbell,Pharmaceuticals,25%,25%,25%,25%,"5,000,000",0%,96%
Maverick Harris,Oil and Gas,25%,25%,25%,25%,"1,000,000,000",0%,100%
Caden Green,Banking,23%,27%,25%,25%,0,0%,94%
Cale Ramirez,Technology Hardware,20%,25%,30%,25%,"1,000,000,000",0%,93%
Liberty Jackson,Alcohol,20%,20%,30%,30%,"500,000",0%,99%
Wade Thompson,Medical Equipment,25%,25%,25%,25%,0,0%,98%
Ashton Hernandez,Fishing,30%,30%,20%,20%,"2,000,000",0%,92%
Parker Nelson,Technology Hardware,20%,25%,30%,25%,"2,000,000",94%,0%
Clay Thomas,Oil and Gas,25%,25%,25%,25%,"50,000,000",0%,99%
Autumn Roberts,Financial Services,20%,28%,25%,25%,"1,000,000",0%,97%
Blaine Lopez,Other,25%,25%,25%,25%,"1,000,000",0%,91%
Clay Rodriguez,Technology Hardware,20%,25%,30%,25%,"1,000,000",90%,0%
Caden Jackson,Banking,23%,27%,25%,25%,0,0%,99%
Kellen Wright,Technology Services,22%,28%,25%,25%,"100,000,000",0%,92%
Kyler Ramirez,Agriculture,15%,20%,35%,30%,"1,000,000",0%,94%
Wyatt Harris,Healthcare,24%,26%,25%,25%,0,0%,94%
Bryson Carter,Mining,24%,26%,25%,25%,"5,000,000",0%,92%
Lane Green,Software,23%,27%,25%,25%,"10,000,000",0%,100%
Dakota Clark,Biomedical,25%,25%,25%,25%,"500,000",0%,96%
Braxton Harris,Security Hardware,20%,25%,30%,25%,"10,000,000,000",0%,91%
Haven Lewis,Fishing,30%,30%,20%,20%,"1,000,000,000",0%,89%
Elle Williams,Other,25%,25%,25%,25%,"10,000,000",0%,97%
Kennedy Roberts,Insurance,25%,30%,20%,25%,"100,000,000",0%,98%
Dakota Robinson,Technology Hardware,20%,25%,30%,25%,"5,000,000",96%,48%
Delaney Hill,Alcohol,20%,20%,30%,30%,0,0%,90%
Brooklyn Perez,Agriculture,15%,20%,35%,30%,"100,000,000",0%,89%
Gage Campbell,Alcohol,20%,20%,30%,30%,"50,000,000",0%,98%
Autumn Clark,Medical Equipment,25%,25%,25%,25%,"100,000,000",0%,92%
Heaven Lopez,Insurance,25%,30%,20%,25%,"1,000,000",0%,96%
Corbin Carter,Biomedical,25%,25%,25%,25%,"1,000,000,000",0%,89%
Kyler Jackson,Biomedical,25%,25%,25%,25%,"2,000,000",0%,93%
Jameson Rodriguez,Technology Services,22%,28%,25%,25%,0,0%,89%
Kai Gonzalez,Biomedical,25%,25%,25%,25%,"5,000,000",0%,94%
Kian Wright,Construction,15%,25%,35%,25%,"5,000,000",0%,96%
Darwin Thomas,Automotive,20%,25%,30%,25%,"100,000,000,000",0%,98%
Jameson Lewis,Oil and Gas,25%,25%,25%,25%,"1,000,000,000",0%,89%
Bryson Mitchell,Technology Services,22%,28%,25%,25%,"500,000",0%,92%
Brooklyn Jackson,Mining,24%,26%,25%,25%,"100,000,000",0%,93%
Sullivan Torres,Travel,20%,30%,30%,20%,"10,000,000",0%,93%
Cassidy Ramirez,Other,25%,25%,25%,25%,"100,000,000",0%,90%
Bryn Green,Technology Services,22%,28%,25%,25%,0,0%,97%
Cannon Ramirez,Financial Services,20%,28%,25%,25%,"100,000,000",0%,94%
Cheyenne White,Appliances,22%,28%,25%,25%,0,0%,97%
Fisher Garcia,Oil and Gas,25%,25%,25%,25%,"10,000,000,000",0%,90%
Jaylen Wright,Other,25%,25%,25%,25%,0,0%,95%
Cortez Adams,Security Hardware,20%,25%,30%,25%,0,0%,90%
Keegan Garcia,Alcohol,20%,20%,30%,30%,"5,000,000",0%,92%
Braden Robinson,Healthcare,24%,26%,25%,25%,"500,000",0%,99%
Dalton Lopez,Software,23%,27%,25%,25%,0,97%,0%
Skylar Clark,Financial Services,20%,28%,25%,25%,"500,000",0%,88%
Cameron Williams,Fishing,30%,30%,20%,20%,"10,000,000",0%,94%
Braden Campbell,Mining,24%,26%,25%,25%,"10,000,000,000",0%,93%
Rylie Rodriguez,Mining,24%,26%,25%,25%,"5,000,000",0%,99%
Brooklyn Gonzalez,Medical Equipment,25%,25%,25%,25%,"1,000,000,000",0%,96%
Aubrey Robinson,Financial Services,20%,28%,25%,25%,"1,000,000",0%,94%
Sullivan Wilson,Technology Hardware,20%,25%,30%,25%,"1,000,000,000",0%,92%
Easton Sanchez,Biomedical,25%,25%,25%,25%,"10,000,000,000",0%,98%
Blaine Flores,Biomedical,25%,25%,25%,25%,"1,000,000",0%,89%
Reid Torres,Alcohol,20%,20%,30%,30%,"1,000,000,000",0%,91%
Clay Lopez,Financial Services,20%,28%,25%,25%,"50,000,000",0%,98%
Peyton White,Insurance,25%,30%,20%,25%,"1,000,000",0%,97%
Wade Hernandez,Other,25%,25%,25%,25%,"5,000,000",0%,89%
Aubrey Davis,Pharmaceuticals,25%,25%,25%,25%,0,0%,100%
Clayton White,Travel,20%,30%,30%,20%,"5,000,000",0%,90%
Rylan Rivera,Alcohol,20%,20%,30%,30%,"10,000,000",0%,99%
Landon Young,Technology Services,22%,28%,25%,25%,"2,000,000",0%,93%
Cali Walker,Travel,20%,30%,30%,20%,"10,000,000",0%,99%
Liberty Hill,Agriculture,15%,20%,35%,30%,"2,000,000",0%,95%
Branson Martinez,Technology Services,22%,28%,25%,25%,"10,000,000,000",0%,95%
Gage Baker,Technology Services,22%,28%,25%,25%,"1,000,000,000",0%,100%
Cale Taylor,Software,23%,27%,25%,25%,"2,000,000",96%,0%
Destiny Lopez,Biomedical,25%,25%,25%,25%,"1,000,000,000",0%,94%
Chanel Campbell,Pharmaceuticals,25%,25%,25%,25%,"10,000,000",0%,91%
Trinity Campbell,Biomedical,25%,25%,25%,25%,"100,000,000",0%,95%
Juli Wright,Biotechnology,24%,26%,25%,25%,"1,000,000,000",0%,99%
Gelar Adams,Other,25%,25%,25%,25%,"50,000,000",0%,93%
Elsea Anderson,Oil and Gas,25%,25%,25%,25%,"10,000,000",0%,93%
Juliann Brown,Software,23%,27%,25%,25%,"50,000,000",0%,100%
Alle Shaw,Mining,24%,26%,25%,25%,"100,000,000",0%,91%
Jomarie Adams,Security Software,22%,28%,25%,25%,"5,000,000",0%,92%
Jondy Mitchell,Healthcare,24%,26%,25%,25%,"5,000,000",0%,99%
Ciji Murphy,Education,30%,25%,15%,30%,"5,000,000",0%,100%
Adde Jones,Pharmaceuticals,25%,25%,25%,25%,"100,000,000,000",0%,97%
Jomarie James,Construction,15%,25%,35%,25%,"100,000,000",0%,92%
Joylyn Adams,Agriculture,15%,20%,35%,30%,"10,000,000",0%,96%
Julij Evans,Technology Services,22%,28%,25%,25%,"2,000,000",0%,94%
Isla Rogers,Construction,15%,25%,35%,25%,"10,000,000",0%,97%
Auton Thomas,Alcohol,20%,20%,30%,30%,"500,000",0%,90%
Himar Mason,Education,30%,25%,15%,30%,"10,000,000,000",0%,97%
Grace Price,Oil and Gas,25%,25%,25%,25%,0,0%,98%
Juliano Davies,Education,30%,25%,15%,30%,"50,000,000",0%,97%
Jomarie Mitchell,Automotive,20%,25%,30%,25%,"2,000,000",0%,94%
Avgoustinos Miller,Banking,23%,27%,25%,25%,"10,000,000",0%,91%
Jonathen Nguyen,Biomedical,25%,25%,25%,25%,"1,000,000,000",0%,99%
Daryllyn James,Biotechnology,24%,26%,25%,25%,"10,000,000,000",0%,88%
Laniyah Wood,Banking,23%,27%,25%,25%,"100,000,000,000",0%,94%
Aimo Carter,Alcohol,20%,20%,30%,30%,"1,000,000,000",0%,95%
Charlotte Wood,Security Software,22%,28%,25%,25%,0,0%,96%
Harwill Marshall,Software,23%,27%,25%,25%,"1,000,000,000",0%,91%
Bassett Edwards,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,93%
Jinelle Ward,Software,23%,27%,25%,25%,"10,000,000,000",0%,98%
Ava Chapman,Agriculture,15%,20%,35%,30%,"500,000",0%,91%
Charlotte Robertson,Healthcare,24%,26%,25%,25%,"1,000,000",0%,91%
Juin Richardson,Appliances,22%,28%,25%,25%,"100,000,000,000",0%,98%
Jinadath Webb,Automotive,20%,25%,30%,25%,"1,000,000",0%,98%
Joyelle Harris,Agriculture,15%,20%,35%,30%,"2,000,000",0%,99%
Daryllyn Marshall,Agriculture,15%,20%,35%,30%,"10,000,000",0%,97%
Jomarie Green,Mining,24%,26%,25%,25%,"50,000,000",0%,99%
Juan Elliott,Pharmaceuticals,25%,25%,25%,25%,"10,000,000,000",0%,94%
Allirea Baker,Biotechnology,24%,26%,25%,25%,"1,000,000",0%,99%
Harper Clarke,Banking,23%,27%,25%,25%,"50,000,000",0%,96%
Bassett Clark,Technology Services,22%,28%,25%,25%,"5,000,000",0%,91%
Aayla Matthews,Travel,20%,30%,30%,20%,"5,000,000",0%,96%
Julietta Phillips,Other,25%,25%,25%,25%,0,0%,90%
Hastie Clarke,Alcohol,20%,20%,30%,30%,"10,000,000,000",0%,91%
Celyse Matthews,Technology Services,22%,28%,25%,25%,"1,000,000",0%,98%
Alyne Johnson,Fishing,30%,30%,20%,20%,"500,000",0%,93%
Halena Matthews,Construction,15%,25%,35%,25%,"10,000,000",0%,94%
Jimmie Cooper,Mining,24%,26%,25%,25%,"100,000,000",0%,97%
Alisah Clarke,Financial Services,20%,28%,25%,25%,"50,000,000",0%,97%
Brak Hughes,Fishing,30%,30%,20%,20%,"10,000,000,000",0%,96%
Harwell Pearce,Banking,23%,27%,25%,25%,"1,000,000",0%,93%
Jondi Simpson,Travel,20%,30%,30%,20%,"2,000,000",0%,91%
Cra Hughes,Insurance,25%,30%,20%,25%,"2,000,000",0%,94%
Jimm Campbell,Financial Services,20%,28%,25%,25%,0,0%,92%
Jono Jackson,Technology Services,22%,28%,25%,25%,"100,000,000",0%,91%
Alle Kennedy,Mining,24%,26%,25%,25%,0,0%,89%
Gon Collins,Mining,24%,26%,25%,25%,0,0%,99%
Gelar Kumar,Construction,15%,25%,35%,25%,"100,000,000",0%,98%
Harper Thompson,Appliances,22%,28%,25%,25%,"50,000,000",0%,91%
Bastiaan Davies,Security Software,22%,28%,25%,25%,0,0%,97%
